B	LRU-1	LRU-2	LRU-3	A0	B1/B2
60	0.135667	0.262000	0.267667	0.293667	2.083333
80	0.179000	0.357000	0.369333	0.390000	2.450000
100	0.210000	0.450000	0.475000	0.497333	2.980000
120	0.247333	0.499667	0.505333	0.506667	3.516667
140	0.282000	0.505333	0.512667	0.514333	3.271429
160	0.325333	0.514333	0.525333	0.524000	3.043750
180	0.346667	0.511667	0.530000	0.529667	2.550000
200	0.370000	0.509667	0.538000	0.537333	2.365000
250	0.415667	0.514333	0.557333	0.559667	1.876000
300	0.454333	0.512667	0.573667	0.575667	1.756667
350	0.475667	0.515333	0.593667	0.597667	1.571429
400	0.501333	0.521333	0.614000	0.616000	1.282500
450	0.504000	0.517000	0.628333	0.629667	1.251111
